Designator,Mid X,Mid Y,Layer,Rotation
+12V, 5.60,26.30,Top,0.0
2/8-SEC,38.60,11.80,Top,0.0
BUT, 5.60,18.70,Top,0.0
C1,18.66,24.65,Top,90.0
C2,36.66,24.65,Top,90.0
C3,22.96,17.15,Top,90.0
C4,18.85,18.84,Top,0.0
C5,29.95,19.06,Top,180.0
C6,33.50,24.70,Top,90.0
C7,24.90,24.60,Top,90.0
C8,16.30, 8.00,Top,90.0
C9,17.00,12.40,Top,180.0
C10,19.26, 8.15,Top,90.0
C11,10.70, 3.10,Top,0.0
D1,15.70,24.90,Top,90.0
D2,16.00, 3.10,Top,180.0
D3,13.40, 8.10,Top,90.0
D4,27.20, 8.10,Top,0.0
GND, 5.60,11.40,Top,0.0
IC2,29.30,23.38,Top,180.0
IC3,33.10, 8.80,Top,0.0
LED, 5.60, 3.70,Top,0.0
LED1,35.70, 2.75,Top,180.0
PGC,31.40,16.20,Top,0.0
PGD,25.40,12.30,Top,0.0
Q1,22.85, 7.10,Top,0.0
Q2,19.40,15.75,Top,90.0
Q3,10.80,19.75,Top,90.0
R1,28.14,12.05,Top,270.0
R2,26.65, 3.06,Top,180.0
R3,21.35, 3.06,Top,180.0
R4,27.00,16.20,Top,180.0
R5,10.55,26.36,Top,180.0
R6,36.90,19.16,Top,180.0
R7,21.80,24.60,Top,270.0
R8, 5.90, 7.50,Top,180.0
R9,22.00,11.90,Top,270.0
R10,10.60,23.10,Top,180.0
R11,14.60,17.60,Top,270.0
R12,11.40,14.70,Top,90.0
R13, 8.80,17.10,Top,90.0
R14, 8.80,13.80,Top,270.0
R15,33.80, 3.05,Top,90.0
R16,10.40, 9.30,Top,90.0
VDD,31.20, 3.20,Top,0.0
VPP,38.50, 3.80,Top,0.0
