Comment,Designator,Footprint,LCSC Part #
0,R9 R13 R14,R0603,
1N4001,D1 D2 D3 D4,SOD-123_MINI-SMA,
1n,C4,C1206K,
1u,C10,C1206K,
2.0k,R4,M1206,
2.0k,R15,R0603,
2.2u,C9,C1206K,
2k,R12,M1206,
8.2k,R3,M1206,
10k,R6 R11,M1206,
10n,C3 C5,C1206K,
15k,R1 R7,M1206,
22k,R2,M1206,
50,R8,M1206,
78L05F,IC2,SOT89,
100,R5 R10,M1206,
100n,C1 C6 C7,C1206K,
220n,C2 C11,C1206K,
470n,C8,C1206K,
BC807,Q3,SOT23-BEC,
BC817,Q1 Q2,SOT23-BEC,
HX 3x6x2.5A-2.5N,2/8-SEC,SMS-001,
KT-0805Y,LED1,CHIP-LED0805,
PIC12F683SN,IC3,SO-08,
